kanji,kanji-meaning,reading-on,reading-kun,radical,radicals-icons,radicals-icons-names,,meaning-mnemonic,meaning-info,reading-mnemonic,reading-info,id,
?,Flower,"?, ?",??,"?, ?, ?",-,"flowers, leader, spoon",,A leader with a spoon is planting flowers so that one day this place may be full of beautiful flowers.,"It's kind of weird that the flowers radical is only a part of the flower kanji, but you'll make do. Just focus on the fact that the leader is planting all these flowers for a bigger picture thing (that's what leaders do). He wants there to be flowers for future generations as well, because he's a nice dude like that.","The leader can't stop planting flowers though. He's going crazy. Maybe it's the pollen? He comes up to someone named Hannah (??) and starts planting flowers in her face, probably killing her in the process.","Do you know anyone named Hannah? Any famous people, perhaps? Try to come up with someone you know of named Hannah that you can imagine to be in this mnemonic, to help you remember it better.",400,level4 kanji
?,"Foot, Leg, Sufficient",??,"??, ?",?,-,foot,,"The radical for foot and the kanji for foot are exactly the same. That being said, there's also another meaning you should keep in mind, which is sufficient. If you think about it, one foot should be sufficient enough to walk around with if you hop.","Same kanjis and radicals make Jack a happy boy. You should also learn the other meaning as well, though, if you can.",What do you wear on your foot? You wear a sock (??).,"Just think about your bare feet. Think about them too much. Feel how cold it is on your feet. Now, put on a sock to make it feel better. Ahhh, so nice!",401,level4 kanji
?,Hit,?,"?, ?","?, ?",-,"fingers, street",,Take your fingers to the street to hit some people! Street fingers are for curling into a fist. And that street fist wants to do some hitting!,"Imagine: it's just you, your fingers, and the wild street. It's hitting time!","As you hit one chump after another, suddenly your dad (?) comes marching out of your house. Uh oh. Dad caught you hitting, which, honestly, isn't a very nice thing to do, so he has every right to stop you.","Now imagine your dad saying, ""Don't do a hit!"" over and over at you. ""I'm sorry dad! But the streets were calling me!""",402,level4 kanji
?,Hundred,???,??,?,,sun,leaf,"There is a leaf growing out of the sun! You fly out into space to check it out and when you get closer you see that it isn't just one leaf, it's a hundred! That makes sense, you wouldn't be able to see just one leaf on the sun from where you were on earth.",Imagine flying toward the sun to see a hundred leaves growing together in the shape of one big leaf. You want to go closer!,"You fly closer, counting all one hundred leaves when you hear a strange sound. You take off your space helmet and hear, ""GUH HYUCK (???)!"" You know that laugh... it's Goofy! On top of the hundredth leaf is Goofy laughing and waving around. He must have built this leaf tower to get your attention.","Imaging hearing Goofy guh-hyuck over and over after you save him from being stranded on the sun. How would you feel being stuck in a cramped ship with laughing Goofy and his hundred leaves? Oh, you thought he would leave those behind? Nope, they saved him so you have to take them back too. Happy travels!",403,level4 kanji
?,Ice,???,???,"?, ?",-,"water, drop",,"You have water already... and it's pretty cold. All it takes is one cold drop of liquid nitrogen added to it to turn it into one big block of ice, just like that.","Go ahead and touch it... wow, it's really cold - and only from one drop, too. Feel the burn on your finger from where you touched the ice.","When you think of ice, I want you to think of someone frozen with ice. Do you know anyone named Corey (???)? Anyone famous named Corey, perhaps Corey Feldman? Imagine this Corey person frozen solid with ice.",How did this happen? Was it your fault? Imagine the situation that would get Corey frozen like this.,404,level4 kanji
?,"Insect, Bug","???, ?",??,?,-,insect,,The insect radical and insect are the same in looks as well as and meaning.,It's times like these when you gotta hope you're studying your radicals!,It's an insect! Get it! You squish it with your foot - what sound does it make? A mush (??) sound.,"Imagine little words that say ""mush"" flying out from under your foot as you mush the poor thing. What does a ""mush"" sound sound like? You'll have to come up with something unique to yourself, and focus on it to remember this reading.",405,level4 kanji
?,"Letter, Character, Symbol",?,-,"?, ?",-,"roof, child",,"The roof child stands upon the roof, holding up a single letter, a single character, a single symbol for the world to see.",More people can see this character since the kid is on the roof.,"The character that is being shown is ""J,"" which stands for Jesus (?). The kid wants everyone to see this letter and symbol.","Imagine the child holding up the letter yelling at everyone who passes that the ""J"" stands for ""Jesus."" And yes, this kid just loves the Big Lebowski.",406,level4 kanji
?,Man,"??, ??",???,"?, ?",-,"rice-paddy, power",,"Rice paddy power comes from a man. One man, in fact. He's running on a big wheel next to the rice paddy and providing all of the power for the rice to grow and be harvested.",Picture the power this man is generating! Now look at the next rice paddy and you'll see it's on a different power grid with a different man powering it.,"A man can power an entire rice paddy until dawn (??). Once dawn comes they need a little break, so they nap. But once dawn is over, they're back at it again!","Picture the man watching as the first light of dawn tints the color of the sky, turning it pink and orange. He stops working, lays down, and falls asleep.",407,level4 kanji
?,"Master, Main",??,"??, ??",?,-,master,,The radical master and the kanji master have the same meanings! This kanji also means main because the master is the main person of a dojo or household or business.,,"Do you remember back to the radical mnemonic, where the master is floating a water drop above his head? Imagine back to there. Once you do, the most amazing thing happens. The master sends the drop of water into a chute (??) and it goes careening through an intricate series of them.","Picture this master of water controlling the droplet as it flies around inside these chutes, like he's solving a difficult puzzle with it. Astounding!",408,level4 kanji
?,"Name, Famous","??, ???",?,"?, ?",-,"evening, mouth",,"What is the evening mouth? Imagine a mouth that’s up in the night sky. It’s just there, talking, and only comes out at night. It only appears in one area of the world (what area would you choose? Imagine yourself going to that place to see the “night mouth.”), and appears only one month out of the year (more on this in a second). The “evening mouth” is the most famous thing in the _____ area (this is the area you choose). He’s so famous that everybody knows his name (“Evening Mouth.”).","Imagine yourself going to the area you chose, and watching “Evening Mouth” speak. There are thousands of others there, wanting to see the giant floating mouth in the night sky. “Evening Mouth” then says “Everyone, what’s my name!?” and everyone shouts back “Evening Mouth!” in unison. “Evening Mouth” has certainly gotten really famous.","So, when does “Evening Mouth” appear? Turns out, “Evening Mouth” only comes out to talk in May (??). You know this because it’s just starting to be spring, and when you look around (you’re watching “Evening Mouth” again) you see some spring flowers come up.","You know what they say. April showers bring May Flowers. What do May Flowers bring? They bring “Evening Mouth,” baby.",409,level4 kanji
?,Not,?,-,?,-,not,,The not and the kanji not are the same thing! That makes it easy... Not!,"Actually, it does make it easy - the radicals make kanji wayyy easier, no?","To remember ? we'll use the word ""fool."" Think of those jokes, where someone says something, then ends with a loud ""NOTTTT!"" Someone is doing that to you, over and over. What is that person? That person is a fool (?).",Be sure to feel irritated at that person. Think in your head as they're telling these dumb "not" jokes how much of a fool they are... and how much of a fool you are for sitting here and listening to them.,410,level4 kanji
?,Number,??,-,"?, ?, ?",-,"mouth, ground, prison",,"There's a mouth in the ground (in our case, it's a hatch), and inside is some kind of prison you can't quite get to. If you've ever seen Lost, this will sound familiar... on the hatch, there's actually a series of numbers that you don't understand.","What are these numbers? What do they mean? Think over it for a while, get frustrated, and try to figure it out. You can't, though, so you probably won't ever get inside.","""You want to know the number to the hatch?"" yells an old voice from inside. You say ""yes,"" and the voice gives you the numbers and you're in! You go down into the prison, where there is one prisoner: Grandpa Koichi (????). Note: For ?? reading mnemonics, we use ???? (grandpa Koichi) because ???? is used for the ?? reading. ?? becomes ?? becomes ""grandpa ????.""",???? keeps saying numbers as you free him from the prison. Just one after another. Numbers numbers numbers. Hopefully old man ???? isn't crazy.,411,level4 kanji
?,Other,?,??,"?, ?",-,"leader, alligator",,"The leader of alligators... he's no ordinary leader, that's for sure. He's not a politician.. he's not a king... He's one of the Other Ones, a group of strange, eccentric people who become leaders of animals.","Imagine different groups of leaders - they're all dressed nice and normal. Then, off to the side are the leaders who are leaders of bears, cats, alligators, and narwhals... they're the other ones, no matter how you look at it. They are in their own group, and they are considered ""others"" because society won't accept them :(","To remember the reading ?, we use the word ""Taco"" Then there's the others of the others. These are the taco (?) worshipers. They're really strange.","Just imagine the ""others"" shaking their heads at these taco worshipers. Seriously, what the heck?",412,level4 kanji
?,Past,"??, ?",?,"?, ?",-,"dirt, private",,"If someone tries to dig up private dirt on you, tell them no thanks, that stuff is in the past. Some things should stay in the past. Not everyone needs to know everything about your life and your past.",Keep your private dirt in the past. It's better for everyone.,"To remember the reading ??, we'll use ""Little Kyoto."" This will differentiate ?? from ???, which is regular-sized Kyoto. Get it? You decide to bury all this private dirt from your past in Little Kyoto (??). That stuff is from when you were just a little ? (?) and you don't like to think about it.","Imagine physically, literally burying your past ? self. If you hide it in Little Kyoto, no one will ever be able to dig it up.",413,level4 kanji
?,"Plate, Dish",-,??,?,-,plate,,"The plate kanji and the plate are exactly the same, like two matching pieces of china.","If you know your radicals, you know your kanji too.","The person washing all the dishes was named Sarah (??). She was named that because of her large head, which was shaped like Sarah Jessica Parker’s head (very big).","Imagine someone with a huge head, washing dishes. When I say huge, I mean huge. She turns towards you with her big head and says “Hi, I’m Sarah” and you see her name tag, which also says Sarah. She is Sarah, the dish washer. The plates she holds up next to her head pale in comparison, even though they're the biggest pieces.",414,level4 kanji
?,"Previous, Ahead, Past, Former",??,"??, ??","?, ?, ?",-,"slide, dirt, legs",,"Slide some dirt on your legs so you can feel like you're from a previous time. Everything from the past is in the dirt. Dead people, dinosaur bones, your mom's secrets in a box from her past life. All these things come back to you as you slide the dirt all over your legs.",Imagine the feeling of dirt on your legs. Now think back to the previous day. The previous year. The previous century.,"As you sit there, pretending you're in a previous time you see a centaur (??)! That's right! Centaurs are from wayyyy in the past.",Centaurs were definitely real in the past. Don't let anyone tell you otherwise. They're just afraid of the truth.,415,level4 kanji
?,Red,??,??,?,-,red,,The radical for red and the kanji for red are the same thing!,"What a lucky ducky - as long as you know your radicals, you'll know this kanji's meaning as well!","Think of Fozzie Bear. He says ""Wakka wakka wakka"" a lot. Now, think of an evil, red (and I mean totally red) Fozzie Bear. He drops the ""w"" and just says ""Aka Aka Aka,"" because he's totally evil.","You'll have to think of him as really, really red, though. Like, a glowing, searing kind of red. Red enough for you to associate red with this evil Fozzie Bear. If you do, then you'll be good to go (as long as you know his catch phrase as well).",416,level4 kanji
?,Rest,???,??,"?, ?",-,"leader, tree",,"The leader is next to the tree. What is he doing? He's leaning against it, resting.",The best thing to do with a tree is rest under it. Picture the leader resting under the tree with his eyes half closed.,"As he rests, he suddenly gets hungry and pulls a cucumber (???) off the tree and bites into it. A good rest isn't complete without some crunchy tree cucumbers.",Don't email me saying cucumbers don't grow on trees. Cucumber trees exist. Look them up and then rest easy knowing I'd never lie to you.,417,level4 kanji
?,"Say Humbly, Say, Humbly Say",??,??,"?, ?",-,"cross, mouth",,"There’s a cross in your mouth, so the things you say are very pious. Everything you say you say humbly.","Imagine yourself with a cross in your mouth, saying all kinds of humble things. ""Oh no, I'm not that good."" ""Oh no, my mustache doesn't look that great.""","When you think of saying humble things, think of the humblest man in the world. His name is Moe (??).","Imagine this character in your head. If it helps, you can take a Moe you already know of (Simpsons, perhaps?) and pretend he's extremely humble - ridiculously so. Just remember to make it crazy so you can remember it better.",418,level4 kanji
?,See,??,?,?,-,see,,The radical see and the kanji see are exactly the same!,"Make sure you're studying your radicals. If you do, you'll know a lot of kanji as well, almost magically!","You see something. It's walking towards you, but you need to see better. When the person comes close, you realize ""That person is me (?)!""","The struggling to see bit is pretty important - make sure that you slowly see a little better and better as the person comes closer, but it's difficult the whole time (struggles are good for memory). Then, it starts to become more and more clear, and you start saying ""that can't be me. No way it's me..."" When the person comes up to you (the person, being you) you learn about parallel universes and other fabulous things. Still, the whole time you can't stop thinking about how ""this person looks just like me... no, this person is me!""",419,level4 kanji
?,"Shellfish, Shell",-,??,?,-,shellfish,,The shellfish radical and the shellfish kanji are the same! It can be just the shell part too.,"Shellfish are shellfish, you know?","To get some shellfish, all you have to do is hop in your kayak (??) and get some. Shellfish live in the water.","Imagine rowing your kayak out into the ocean to collect shellfish. Imagine the color and shape of the kayak. Feel the spray of the salt water and the taste of some fresh shellfish, right out of the ocean.",420,level4 kanji
?,Stone,??,??,?,-,stone,,The stone radical and stone kanji are the same thing!,Know your radicals and therefore know your kanji. It's just that simple.,"You throw a stone through a window... and, now you can see something very sexy (??).","Whoops, maybe you shouldn't throw stones through windows or you'll see people's sexy times.",421,level4 kanji
?,"Substitute, Replace, Period, Age",??,"?, ??, ??","?, ?",-,"leader, ceremony",,"The leader for the ceremony can't come so you need a substitute to replace them ASAP! This kanji has another meaning too. The leader can't come to the ceremony because they forgot what period of time it was. If they think they're in the wrong age, they won't come because they're trying to lead some monkeys in the ceremony instead.","Picture the leader of the ceremony out back, unsure of what period or age they're in, while the substitute leader walks in and stares at them in shock.","The substitute leader is wearing the wrong color clothes, so you have to dye (??) them, like they did in the olden ages.","Now you're out back with the original leader and the substitute leader, trying to dye the color of this stupid shirt to match that one.",422,level4 kanji
?,Thanks,??,-,"?, ?",-,"spirit, umbrella",,"Always remember to give umbrellas to the spirits to show your thanks. The next time you're walking by a shrine and you see a statue dedicated to a spirit, leave your umbrella open to protect it. This is the best way you can show your thanks for life, food, shelter, and all that good, good stuff.","Picture a spirit shrine with an umbrella protecting it from the heavy rain. ""Thanks for everything,"" you say softly.","After you say thanks to a spirit, sometimes you'll get a gift back. You look down. There is a ray (??) gun by your feet. Huh. Maybe you should show your thanks to the ray gun spirit more often.","Thanks for the new ray gun, spirit!",423,level4 kanji
?,Thread,?,??,?,-,thread,,The thread radical and thread are the same in looks as well as in meaning.,This is why it's good to make sure you know your radicals.,"You have some thread... what's the first thing you do with it? You take it and put it in your mouth, and start sucking it down like spaghetti. You have decided to eat (??) the thread.","Think about how it tastes. Think about how it feels in your throat. Let it get caught on your teeth and around your tongue. It's a weird feeling having thread in your mouth, and you want to use that weird feeling to remember you're going to eat it.",424,level4 kanji
?,Town,???,??,"?, ?",-,"rice-paddy, street",,"When you see both a rice paddy and a street in the same place, you have the makings of a whole town!","Think about it, a single farm wouldn't need a whole street. Just paths would do. There is a street next to this rice paddy, so there must be other people, which makes this a town.","You go to visit this nice little town. But then, there she is... Every time you walk down the street, the street-woman Mrs. Chou (???) arrives to ruin your day.","Remember imagining Mrs. Chou in great detail in level 2? Time for some of that work to come to fruition. Imagine Mrs. Chou walking down the street of the town towards you, ready to make your day bad. She breaks things as she walks towards you, then knocks you down for walking around in her town. She says, ""Wherever there's a street, you'll find Mrs. Chou."" Then spits on your back as she walks away.",425,level4 kanji
?,Treasure,??,???,"?, ?, ?",-,"roof, king, drop",,"Under his roof, the king stares into a drop of water containing his greatest treasure. Just kidding, the king has way more treasure than that. The drop of water is just reflecting what's around him: mounds and mounds of treasure, stacked all the way up to the roof.",Picture the treasure reflected in the drop of water. It's marvelous!,"All of this treasure is kept in the king's home (??). He can't let other people see how much treasure he has, or they'll get mad, or worse(!) ask him to share some with his people. Yuck. The treasure stays at home.","Picture his home from the outside. It looks like a normal, small castle. But then you walk in and it's a treasure trove of... well, treasure!",426,level4 kanji
?,Village,??,??,"?, ?",-,"tree, measurement",,Someone’s taking measurements of the trees… Why is someone taking measurements of trees? These people are planning to take the trees and cut them down to make their village.,There is a whole group of people out there who are measuring these trees. Imagine them asking each other “do you think this will be a good tree for our village center?” and other people nodding in agreement or disagreement as they measure.,They take all the wood back to where they're building their village and once they construct the village center they paint a mural (??) on the side of it. The mural is of the forest where they got the tree from so they remember the building's origins.,Look at the mural on the side of this newly constructed village center. So many trees! Visualize the whole process as the tree becomes a building as you gaze and reflect on the message of the mural.,427,level4 kanji
?,"World, Generation","?, ??",?,?,-,world,,"The world radical and the world kanji are the same, but there is another really important meaning you need to know: generation. Think of it this way: the world is just made up of many different generations of people, plants, and animals all getting along together.",It's all these generational differences that make the world go 'round!,"It's your job to protect the world and every generation with your special saber (??). It was given to you to uphold correctness, and you'll pass it on to the next generation when it's time. Then they'll watch out for the world when you're gone.",Hold the saber up high and pledge to protect the world for all of the generations to come! Then swish it around and make buzzing sounds with your mouth.,428,level4 kanji
?,Year,??,??,?,,cow,gun,"The cow part of this kanji is slightly altered, but I think you can see where it is. The gun looks just fine, though. Think back to a fake memory you have living on the farm. You have your gun, and you gotta use it on a cow (ruh roh). Once a year on New Year's, you have to go out and shoot one of the cows. It's only a yearly shooting, though, so at least there's that respite.",You'll have to imagine yourself doing this to remember the meaning of the kanji. Focus on the thought that "okay... it's only once a year... I only have to do this once a year...","It is New Years, though, so when you bring the dead cow back home, it’s time to celebrate. Using the cow’s organs and bones, you and your siblings construct a nendoroid (??). Nendoroids are Japanese toys - little plastic figurines (Google it if need be). You make a little cow nendoroid holding a gun. How cute.",How funny that you use dead cow parts to make a miniature cow holding a gun much like the one you murdered earlier. Imagine yourself playing with this nendoroid as you think about how weird it was to make a cow nendoroid out of a dead cow.,429,level4 kanji
?,"Angle, Corner",??,"??, ??","?, ?",-,"prison, task",,"Your task in prison is to bend things into different angles and then put them in the corner. No one will tell you why you're doing this, but you get a couple cents an hour to do it, so you aren't going to complain.","Picture yourself sitting in a corner, bending pieces of metal and scrap to fit the angle of that corner.",To get the angle right you find that you have to cock (??) your head to the side a lot. After cocking your head at weird angles so much you also start to hear cocks crowing in your head. Cock-co-cock-co-caww!,Imagine cocking your head to different angles and hearing cocks crow every time you do. Prison isn't as fun as you thought it would be. Manual labor and loud chickens aren't what you expected.,569,level5 kanji
?,"Axe, Bread Loaf Counter",??,-,?,-,axe,,"The axe radical and the axe kanji are exactly the same, with one minor difference. This kanji is also used as the bread loaf counter, probably because bread was so big and hard in the past that they had to use axes to slice them.","Imagine you've gone back in time a good hundred years, and you're trying to count loaves of bread after each swing of your axe. Axes and bread loaves will become intertwined in your brain.","You imagined being back in time too good and now you're stuck using an axe to be a bread loaf counter for the King (??) of England. You aren't sure which king he is or when in time you are, but he's mean and keeps eating all the bread you cut up with your axe.","Imagine being stuck using an axe on bread while the King of England glares down at you, munching and spilling crumbs everywhere.",570,level5 kanji
?,Blue,"??, ???",??,?,-,blue,,The blue radical and the blue kanji are exactly the same.,"Don't feel blue, you should know this kanji automagically!","You've been feeling really blue. Mostly because your skin, hair, and eyes have all turned blue. The Shougun (???) found out and now he's back. He places his hand on your shoulder and then points at your saber (??). It's blue too! You aren't alone!","You aren't sure how you or the saber turned blue, but you're pretty sure the Shougun had something to do with it. At least you match now, I guess.",571,level5 kanji
?,Body,??,???,"?, ?",-,"leader, book",,"The leader has a book all about the human body. Knowing about bodies is a privilege. One that only leaders get—it helps them control all their subjects, like you.","Imagine looking down at your body and thinking, huh, I wonder what all that junk is? Oh well, I'm sure the leader has it all figured out in that book of his.","The leader's body book also taught him about something very body specific: how to tie a tie (??). You can't have a tie on your body, no no. Those are for the leader and his smart body.","Picture the leader, reading a book, putting a tie on his body. Look around at you and your family and your neighbors. You don't know what your body meat-bags do and you don't know how to tie a tie. Womp womp.",572,level5 kanji
?,Color,"??, ???",??,?,-,color,,The color radical and color are the same in looks as well as in meaning.,Color me pink! This kanji's super easy if you know your radicals.,"You already have color on the mind because you know the meaning of this kanji, so think of something colorful about yourself. Imagine your ear (??) being a weird color... green, purple, red, whatever. Just make it really bright and standing out.",You can even have someone ask you about your ear... "Is your ear okay? I think it's the color blue...",573,level5 kanji
?,"Come, Next",??,?,"?, ?",-,"ground, rice",,"There's rice spread out all over the ground. This will cause the Predator to come because he loves kome (rice). Then once he's gone, the next Predator will come to eat.","Also imagine everyone else coming to the rice next. When rice spills, people come from all around to line up and grab a handful of it to take home. Who's next? Come forward!","When they come, though, everyone is disappointed. It turns out it's rye (??) grains, and rye grains taste terrible. Yuck.","If you love rye grains, on the other hand, imagine everyone being really happy that they came to get the rice. They're so lucky it's rye!",574,level5 kanji
?,Company,??,???,"?, ?",-,"spirit, dirt",,"Plant a spirit in the dirt before you start your company and it will be successful. That's what all the great, old Japanese companies did back in the olden days. That's why companies like Mitsubishi have been around for hundreds of years. They planted a spirit in the dirt to help their company grow, and grow it did!",Picture a young man way back in old-timey history times burying the spirit of one of his ancestors in the dirt. Now watch as an old-timey time lapse plays out in front of your eyes and a company is born!,"Where did you learn about this method of company growing? From a shaman (??), of course. Shamans aren't just spouting nonsense, they know what they're talking about. And spirits are right up their shaman alley.",Imagine going to a shaman and having them tell you that for your company to be successful you need to bury a spirit in the dirt so it can help the company grow. You should probably listen.,575,level5 kanji
?,"Correct, Right, Success",??,?,?,,wolverine,triceratops,"There's a triceratops and a wolverine. What are they doing together? You'd think they'd fight, but they took their battle to another venue... they're competing in a game show! One of them answers a question, and the host says, ""Success! You're correct!""","Feel free to think through several questions and answers, but make sure they're all right, because that's what we're focusing on. Also make sure to focus on the triceratops and the wolverine themselves. You want to make sure that when you see these two radicals you automatically know they're playing in a game show, not doing anything else, like fighting or racing or something.","When we need to remember the reading ??, we use the Japanese city Tokyo. The last question in the game show match is the following: ""What is the capital of Japan."" The triceratops and the wolverine scream the correct answer at the same time: ?????!","Wow, that was a pretty easy answer to get right. ????? is what pretty much everyone would guess, and they'd be correct.",576,level5 kanji
?,Diagram,"?, ?","?, ??","?, ?, ?",-,"mouth, treasure, ice",,"The treasures are in the mouth where there’s ice. How cryptic! You want to find the treasure, that’s for sure (treasure is great!). It is somewhere where there is ice, so maybe the arctic? What you are looking at is a diagram which will guide you there.",Imagine looking at a diagram or map – and it has pictures of treasure in an area where ice is. This is where you will find the mystical treasure. This diagram will show the way. You're so excited that you found this map!,"What will you do when you find these treasures that are shown on the diagram? Well, you get there, and you find that the treasure is actually a wooly mammoth! What will you do with this wooly mammoth? You grab it and put it in your zoo (?).","Imagine dragging a wooly mammoth back with you to the town or city you live in, then throwing it in a zoo to be kept. People are quite amazed by this mystical creature you’ve found, though, which is pretty cool.",577,level5 kanji
?,Every,??,??,?,,window,gun,"You see some windows... you have a gun. What do you think you're going to do with this gun? Of course, you're going to shoot the windows... every single one of them.","Make a point to make sure you get every one, and don't miss any of them. Actually search around in your imagination for any more windows, because you want to stress it's important you hit every one.",Now that every single window is broken you feel pretty stupid because a bunch of mice (??) come pouring in through them. You've made a way for them to get into your house. That wasn't smart.,Now you need to shoot every one of the mice that came through those broken windows. You can't let any survive. You have to get every last one out of here!!,578,level5 kanji
?,"Feather, Feathers, Wing, Wings",?,"??, ?, ?",?,-,feathers,,The feather radical and feather are the same in looks as well as in meaning.,"Have you been studying your radicals? If so, this'll be easy!","All these feathers. You're a bird man / woman, and you're getting ready to fly. Just as you're about to take off, someone dumps you with honey ?? and you're all goopy, unable to go anywhere.","Taste the honey, feel it all over your feathers. Go ahead and plummet towards the ground (because you were jumping off a building to fly when someone doused you with honey). At least it's a tasty way to go, no?",579,level5 kanji
?,"Forest, Woods",??,???,?,-,tree,,You have a tree and another tree. You basically have yourself a forest!,Follow the logic of this one and you should be okay.,"So, now you have this forest and you want to cut it down (so much money!). But, you don't have any tools, only your hands. You think... I've done karate for a while, so I can probably chop it down that way. You get in a chopping stance, then do your battle cry and hit: ""HAYA ... .SHI******!""",Obviously that didn't work well - you'll want to focus on your battle cry plus indecent swearing right afterwards to remember this reading.,580,level5 kanji
?,Go,"??, ???","?, ???, ?",?,-,go,,The go radical and the go kanji are exactly the same!,"If you know your radicals well enough (and you do), you'll know this kanji.","""Go!"" someone is telling you. ""Go! Go! Go!"" That person is ????. He is holding his finger out, and pointing at your WaniKani reviews. ""Go! Go!"" Then, he over-enunciates the word ""go"" by saying ""GYOU!!"" (???).","You try to go another direction, and he just yells and points louder: ""GO!""",581,level5 kanji
?,Gold,??,??,?,-,gold,,The gold radical and the gold kanji are the same!,"Just know your radicals and you'll be golden, so to speak.","The most gold in the land belongs to the King (??) of England. In fact, you've never actually met someone with gold, it all goes straight to the King whenever someone finds some. You just have a few pennies to work with.","Picture the King on a huge pile of gold. Gold coins, gold candelabras, gold ponies. He's laughing and pointing at all of it while making very strong eye contact with you.",582,level5 kanji
?,"Grass, Weed",??,??,"?, ?, ?",-,"flowers, sun, cross",,"You plant your flowers in the light of the sun in the shape of a cross, but it's too hot—the sun is too strong—and you end up with grass. Flowers can't grow in these conditions.","Think of how disappointed you are. You wanted a beautiful cross of flowers, and now you just have a big overgrown patch of thick grass. It isn't even pretty green grass, it's a little brown and damaged from the sun.","The grass on top is brown and burned from the sun, so you need to take a cool saw (??) and hack the tops off. The saw is actually physically cool to the touch, to help heal the grass' sunburned bits. It just happens to look cool too.","Imagine using your cool saw to saw off the heads of all of this grass. You made the cross pretty big, so there is a ton of grass to get through. The sun is beating down on you and the grass too, which isn't making it any easier.",583,level5 kanji
?,"Home Village, Home Town",?,??,?,-,village,,The village you always think of first is your home village.,Why would you ever talk about the village where someone else was born? Answer: you wouldn't. Everything is always about you.,"You go back to your home village in a saddle (??). You can't take a car or a train there, it's really in the middle of nowhere. So you have to ride a horse, so break out that old saddle and go visit your parents.","Close your eyes and imagine being on a saddle, heading back to your home village right now. Feel your butt and legs chafing. Eh... that's not such a great memory, now that you think about it.",584,level5 kanji
?,Make,"??, ?",??,"?, ?",-,"leader, key",,"The leader's key is the key that makes all the other keys. It's sort of like the one ring to rule them all, the one ring to bind them... except with keys.","Imagine the leader taking his key to open up a safe that has a button to make other keys for the underlings. No key is as great as this key, though.","You make a key for an underling, and he looks at it disapprovingly (even though you're their leader!). He simply says, ""this key sucks"" (??) and then walks off. How could this be?","Feel angry about this. Maybe you should kick your foot in his mouth and make him suck on that. Also keep in mind that there's another reading that pops up too that's ?. It's similar to ??, though, and I think you'll be able to learn both the readings via the vocabulary.",585,level5 kanji
?,"Many, Much, Lots Of",?,??,?,-,evening,,How many evenings are there? There are many.,"If you accidentally think ""a lot"" or something similar, that's okay too. It's the basic meaning that counts, and all these things are pretty close, though eventually you want to get to the point where you know that this kanji does in fact mean many.","To remember the reading ? we use the word ""Taco"" Let's start with the kanji meaning: many. You go outside in the evening (because that's what this kanji is made up of) and are surprised when you're hit by many tacos flying from the sky. For some reason it's raining tacos, and of course you have no idea why.","The tacos pelt you and knock you off your feet. Hard shell, soft shell, meat, lettuce, tomatoes, cheese... it's terrible. And there are so many of them, flying from the sky to drown you in tacos. This is absolutely absurd (and you should think that too, so you remember the reading).",586,level5 kanji
?,Meat,??,-,?,-,meat,,The meat radical and meat are the same in looks as well as and meaning.,"Study those radicals, and perhaps we'll eat some meat tonight.","You know there's people-eating going on here, with this kanji. So, when you think of this meat, you'll have to think about whose meat it is. In this case, it's Nick's (??) meat.","Do you know someone named Nick you can imagine? There's celebrities too, if you don't have someone. Someone like Nick Cage would do the trick.",587,level5 kanji
?,Meet,??,?,?,-,meet,,The meet radical and the meet kanji are the same!,"Know your radicals, yo!","What better way to meet new people than to start kayaking (??)! Get into your kayak and just float out into the water. You'll eventually bump into someone else in a kayak and boom, you're meeting someone new!","""I met my soulmate in a kayak,"" said Koichi.",588,level5 kanji
?,"Mix, Mingle",??,"??, ?, ?","?, ?",-,"lid, father",,"You put a lid on your father. But, he won't taste good alone, so you mix in some other ingredients. They mingle inside the pot with him.","This may seem traumatic, but actually your father is surprisingly into it. Imagine him mixed in with all kinds of other things. It's important to note that this kanji is about things being mixed in, not so much about the action of mixing. That's another kanji.","With a mix of your father and other ingredients mingling in your cooking pot, you lift up the lid... your father pops up. Your father is ????. He stares back at you with a big smile.","""I love mixing in with potatoes and tomatoes,"" your father ???? states. ""Turn up that temperature. I like to mingle with a bit more tingle.""",589,level5 kanji
?,"Near, Close","??, ??",??,?,,axe,scooter,"Someone on a scooter has an axe, and they're getting near to you really fast! Oh no, they're so close now, you need to get out of here!",Picture a scooter coming toward you in the dark. You see the gleam of the axe as it looms nearer and nearer.,"As they draw near, you recognize who is riding the scooter: the King (??) of England! Behind him, a bunch of his guards also on scooters and wielding axes appear and move close to you.","The King is now so near to you his nose and mustache are tickling your face. He's holding the axe high above his head and saying, ""I can get as close to you as I want and you can't stop me because I'm the King. I can get sooooo close. Look, I'm not touching you though!""",590,level5 kanji
?,"Older Brother, Big Brother, Elder Brother",???,??,"?, ?",-,"mouth, legs",,"Who's someone who's just a mouth with legs? That's your know-it-all older brother, who won't shut up about anything.","To help this mnemonic along, literally imagine your older brother as someone that's just a giant mouth with a pair of legs walking around. It talks and talks and talks, too, irritating you. Feel the irritation specifically at your older brother. He's older than you, so you can't beat him up... yet.","You wish you could box your loud-mouth older brother up and send him far away to ????. ???? is super far away from where you currently live, so just ship your older bro off so he can never bother you again.",Hmm... don't you want to go to ???? someday? Maybe you should have sent your brother somewhere less cool.,591,level5 kanji
